Tag Counts:
Tag,Count
Untagged,89880
sv_p4,793
sv_p1,809
email,789
sv_p5,724
sv_p2,759
sv_p3,738


Port/Protocol Combination Counts:
Port,Protocol,Count
16529,tcp,3
11340,tcp,3
9955,tcp,2
58167,tcp,3
32351,tcp,1
28168,tcp,1
56448,tcp,2
2631,tcp,2
14459,tcp,4
40211,tcp,4
14890,tcp,5
55646,tcp,2
44503,tcp,3
7586,tcp,2
42018,tcp,1
15613,tcp,3
49401,tcp,2
12497,tcp,2
61142,tcp,5
14745,tcp,3
56746,tcp,2
19899,tcp,4
44644,tcp,4
24354,tcp,2
17597,tcp,2
31456,tcp,1
20898,tcp,5
45985,tcp,3
38433,tcp,1
9157,tcp,1
62724,tcp,3
49241,tcp,2
11406,tcp,5
22348,tcp,1
11790,tcp,2
57720,tcp,3
1379,tcp,4
11933,tcp,3
51517,tcp,5
2094,tcp,3
5117,tcp,4
63564,tcp,1
38918,tcp,1
61867,tcp,5
58348,tcp,3
20757,tcp,2
19368,tcp,2
60914,tcp,2
1333,tcp,1
60872,tcp,3
50813,tcp,2
5823,tcp,5
3301,tcp,1
57086,tcp,3
42463,tcp,3
54416,tcp,2
25307,tcp,3
51155,tcp,3
3055,tcp,2
42434,tcp,3
27986,tcp,2
61131,tcp,1
34921,tcp,2
50352,tcp,1
16151,tcp,1
22813,tcp,2
6553,tcp,2
12668,tcp,3
46112,tcp,4
34231,tcp,1
1248,tcp,3
53152,tcp,2
47375,tcp,3
6388,tcp,5
57850,tcp,2
6415,tcp,3
64076,tcp,3
11709,tcp,1
27251,tcp,3
31022,tcp,2
57453,tcp,2
29630,tcp,2
20907,tcp,2
23074,tcp,3
28359,tcp,1
50654,tcp,1
61496,tcp,2
3261,tcp,1
15486,tcp,1
57018,tcp,3
11438,tcp,3
11895,tcp,3
24225,tcp,1
17804,tcp,3
58398,tcp,1
44489,tcp,2
9141,tcp,2
24406,tcp,3
8746,tcp,2
4475,tcp,2
4674,tcp,3
63424,tcp,4
43393,tcp,1
39084,tcp,1
22558,tcp,1
19140,tcp,4
36964,tcp,1
4770,tcp,1
13573,tcp,3
27840,tcp,5
33436,tcp,3
10171,tcp,2
37044,tcp,2
24654,tcp,2
22492,tcp,2
8128,tcp,4
12184,tcp,1
43458,tcp,1
46898,tcp,5
21041,tcp,4
42993,tcp,3
5083,tcp,1
44868,tcp,4
1708,tcp,1
60296,tcp,2
22615,tcp,5
56202,tcp,2
8432,tcp,2
36395,tcp,2
10196,tcp,1
18760,tcp,1
30150,tcp,1
48275,tcp,3
65485,tcp,2
10111,tcp,2
62026,tcp,1
28303,tcp,2
4901,tcp,1
23978,tcp,2
50298,tcp,1
32675,tcp,3
50895,tcp,2
23811,tcp,1
9087,tcp,1
58377,tcp,1
22613,tcp,2
18923,tcp,4
20772,tcp,1
36437,tcp,1
